name,category,instructions,glass,glass-size,ingredients,measurements
Dixie Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange Juice,  Anisette,  Dry Vermouth,  Gin","1/4 oz  Orange Juice, 1 oz  Anisette, 1/2 oz  Dry Vermouth, 1 oz  Gin"
Delmonico No. 2,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Orange Bitters,  Dry Vermouth,  Gin","1 oz  Orange Bitters, 1 oz  Dry Vermouth, 1 1/2 oz  Gin"
Hole-In-One,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"Blended Scotch Whiskey,  Dry Vermouth,  Lemon juice,  Orange Bitters","1 3/4 oz Blended Scotch Whiskey, 3/4 oz  Dry Vermouth, 1/4 oz  Lemon juice, 1 oz  Orange Bitters"
Vodka Stinger,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  White creme de menthe","1 oz  Vodka, 1 oz  White creme de menthe"
Caruso,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Green creme de menthe","1 1/2 oz  Gin, 1 oz  Dry Vermouth, 1/2 oz  Green creme de menthe"
Bulldog Highball,Cocktail Classics,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces," Orange Juice,  Gin,  Ginger ale","1/2 oz  Orange Juice, 2 oz  Gin,   Ginger ale"
Brown Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Light Rum,  Dry Vermouth","3/4 oz  Gin, 3/4 oz  Light Rum, 3/4 oz  Dry Vermouth"
Bronx Terrace Cocktail,Cocktail Classics,Shake with  ice and strain into cocktail glass. Add a cherry.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Lime Juice","1 1/2 oz  Gin, 1 1/2 oz  Dry Vermouth, 1/2 oz  Lime Juice"
Bronx Cocktail (Dry),Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a slice of orange.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth,  Orange Juice","1 oz  Gin, 1 oz  Dry Vermouth, 1/4 oz  Orange Juice"
Hill Dog,Whiskies,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," White whiskey,  Grand Marnier,  Dry Sherry,  Lavender Syrup","1 1/2 oz  White whiskey, 1/2 oz  Grand Marnier, 1/2 oz  Dry Sherry, 1/2 oz  Lavender Syrup,  Orange twist "
Blue Devil Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin, Lemon Juice,  Maraschino,  Blue curacao","1 oz  Gin, 1/2 oz Lemon Juice, 1 oz  Maraschino, 1/2 oz  Blue curacao"
Blue Canary,Cocktail Classics,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6 or more ounces," Gin,  Grapefruit Juice,  Blue curacao","3/4 oz  Gin, 3 oz  Grapefruit Juice, 1 oz  Blue curacao"
Blue Bird,Cocktail Classics,Stir with ice cubes and strain into cocktail glass. Add a twist of lemon peel and a cherry.,Cocktail Glass,6 or more ounces," Gin,  Triple Sec,  Bitters","1 1/2 oz  Gin, 1/2 oz  Triple Sec, 1 oz  Bitters"
Bloodhound Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Decorate with two or three crushed strawberries.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Sweet Vermouth,  Gin","1/2 oz  Dry Vermouth, 1/2 oz  Sweet Vermouth, 1 oz  Gin"
Billy Taylor,Cocktail Classics,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14 to 16 ounces," Lime Juice,  Gin,  Club Soda","1/2 oz  Lime Juice, 2 oz  Gin,   Club Soda"
Bijou Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a cherry on top.,Cocktail Glass,6 or more ounces," Gin,  Green Chartreuse,  Sweet Vermouth,  Orange Bitters","3/4 oz  Gin, 3/4 oz  Green Chartreuse, 3/4 oz  Sweet Vermouth, 1 oz  Orange Bitters"
Bermuda Rose ,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Apricot Flavored Brandy,  Grenadine","1 1/4 oz  Gin, 1 1/2 oz  Apricot Flavored Brandy, 1 1/2 oz  Grenadine"
Vodka Sour,Vodka,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Cocktail Glass,6 or more ounces," Vodka,  Vodka,  Lemon juice,  Simple Syrup","2 oz  Vodka, 2 oz  Vodka, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup,  Lemon half-wheel, maraschino cherry "
Apricot Anisette Collins,Cocktail Classics,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a slice of lemon.,Collins Glass,14 to 16 ounces," Gin,  Apricot Flavored Brandy,  Anisette,  Lemon Juice","1 1/2 oz  Gin, 1/2 oz  Apricot Flavored Brandy, 1 1/2 oz  Anisette, 1 oz  Lemon Juice,  Club Soda "
Alexander's Sister Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces," Dry gin,  Green creme de menthe,  Light cream","1 oz  Dry gin, 1 oz  Green creme de menthe, 1 oz  Light cream"
Highland Cooler,Whiskies,Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Insert citrus spiral(s) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces," Blended Scotch Whiskey,  Simple Syrup,  Ginger ale,  Lemon zest","2 oz  Blended Scotch Whiskey, 1/2 oz  Simple Syrup,   Ginger ale,   Lemon zest"
Alexander Cocktail No. 1,Cocktail Classics,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces," Gin,  Creme de Cacao (White),  Light cream","1 oz  Gin, 1 oz  Creme de Cacao (White), 1 oz  Light cream"
Adam and Eve,Cocktail Classics,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Forbidden Fruit,  Gin,  Brandy,  Lemon Juice","1 oz  Forbidden Fruit, 1 oz  Gin, 1 oz  Brandy, 1 oz  Lemon Juice"
Vodka Sling,Vodka,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Add orange twist.",Old-Fashioned Glass,6 to 8 ounces," Vodka,  Lemon juice,  Simple Syrup,  Orange twist","2 oz  Vodka, 1 oz  Lemon juice, 1/2 oz  Simple Syrup,   Orange twist"
Jack Rose Cocktail,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Applejack,  Lemon juice,  Grenadine","1 1/2 oz  Applejack, 1/2 oz  Lemon juice, 1/4 oz  Grenadine"
Tempter Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Port,  Apricot Flavored Brandy","1 oz  Port, 1 oz  Apricot Flavored Brandy"
Special Rough Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Apple Brandy,  Brandy,  Anisette","1 1/2 oz  Apple Brandy, 1 1/2 oz  Brandy, 1/2 oz  Anisette"
Vodka Grasshopper,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Green creme de menthe,  White creme de cacao,  half-and-half","3/4 oz  Vodka, 3/4 oz  Green creme de menthe, 3/4 oz  White creme de cacao, 3/4 oz  half-and-half"
Singapore Sling,Cocktail Classics,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Float cherry-flavored brandy on top. Decorate with fruits in season and serve with straws.",Collins Glass,14 to 16 ounces," Lemon Juice,  Powdered Sugar,  Gin,  Club Soda,  cherry-flavored brandy","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 2 oz  Gin,   Club Soda, 1/2 oz  cherry-flavored brandy"
Saratoga Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Bitters,  Lemon Juice,  Pineapple Juice,  Maraschino","2 oz  Brandy, 2 oz  Bitters, 1 oz  Lemon Juice, 1 oz  Pineapple Juice, 1/2 oz  Maraschino"
High Cotton,Whiskies,Stir with ice and strain into chilled cocktail glass. Garnish with lemon and mint.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Pimm's No. 1 Cup,  Dubonnet Rouge,  Peach bitters","2 oz  Straight rye whiskey, 1/2 oz  Pimm's No. 1 Cup, 1/2 oz  Dubonnet Rouge, 2 oz  Peach bitters,  Lemon twist,  mint sprig "
Polonaise,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Brandy,  Blackberry-flavored brandy,  Dry Sherry,  Lemon Juice","1 1/2 oz  Brandy, 1 oz  Blackberry-flavored brandy, 1/2 oz  Dry Sherry, 1 oz  Lemon Juice"
Vodka Gimlet,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Lemon juice,  Simple Syrup","1 1/2 oz  Vodka, 1 oz  Lemon juice, 1/2 oz  Simple Syrup"
Merry Widow Cocktail No. 2,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Maraschino,  cherry-flavored brandy","1 1/4 oz  Maraschino, 1 1/4 oz  cherry-flavored brandy"
Lugger,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Apple Brandy,  Apricot Flavored Brandy","1 oz  Brandy, 1 oz  Apple Brandy, 1 oz  Apricot Flavored Brandy"
Jamaica Hop,Cocktail Classics,Shake well with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Coffee-flavored brandy,  Creme de Cacao (White),  Light cream","1 oz  Coffee-flavored brandy, 1 oz  Creme de Cacao (White), 1 oz  Light cream"
Hebrides,Whiskies,Pour into ice-filled Collins glass and stir.,Collins Glass,14 to 16 ounces," Single-malt Scotch whisky,  Maraschino liqueur,  Triple Sec,  Apple juice,  Lemon juice,  Angostura Bitters","1 1/2 oz  Single-malt Scotch whisky, 1/2 oz  Maraschino liqueur, 1/2 oz  Triple Sec, 2 oz  Apple juice, 1/2 oz  Lemon juice, 1 oz  Angostura Bitters"
Hennessy Martini,Cocktail Classics,"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with twist of lemon peel.",Cocktail Glass,6 or more ounces," Hennessy V.S Cognac,  Lemon Juice","2 oz  Hennessy V.S Cognac, 1/2 oz  Lemon Juice"
Vodka Daisy,Vodka,Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with fruit.,Beer Mug,10 to 12 ounces," Vodka,  Lemon juice,  Simple Syrup,  Grenadine","2 oz  Vodka, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1 oz  Grenadine,   seasonal fruit "
Heavenly Dram,Whiskies,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Single-malt Scotch whisky,  Pedro Ximenez sherry,  Lemon juice,  Honey Syrup","2 oz  Single-malt Scotch whisky, 1/2 oz  Pedro Ximenez sherry, 3/4 oz  Lemon juice, 1/4 oz  Honey Syrup,  Lemon twist "
Classic Cocktail,Cocktail Classics,Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.,Old-Fashioned Glass,6 to 8 ounces," Lemon Juice,  Curacao,  Maraschino,  Brandy","1/4 oz  Lemon Juice, 1 1/2 oz  Curacao, 1 1/2 oz  Maraschino, 1 oz  Brandy"
Cherry Sling,Cocktail Classics,Serve in old-fashioned glass filled with ice cubes and stir. Add a twist of lemon peel.,Old-Fashioned Glass,6 to 8 ounces," cherry-flavored brandy,  Lemon Juice","2 oz  cherry-flavored brandy, 1/2 oz  Lemon Juice"
Cherry Fizz,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and decorate with a cherry.,Highball Glass,7 to 10 ounces," Lemon Juice,  cherry-flavored brandy,  Club Soda","1/2 oz  Lemon Juice, 2 oz  cherry-flavored brandy,   Club Soda"
Vodka Cooler,Vodka,Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert a spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces," Vodka,  Simple Syrup,  ginger ale,  Orange zest spiral","2 oz  Vodka, 1/2 oz  Simple Syrup,   Soda water or ginger ale,   Orange and/or lemon zest spiral"
Carrol Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces," Brandy,  Sweet Vermouth","1 1/2 oz  Brandy, 3/4 oz  Sweet Vermouth"
Button Hook Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Creme de Menthe (White),  Apricot Flavored Brandy,  Anisette,  Brandy","1/2 oz  Creme de Menthe (White), 1/2 oz  Apricot Flavored Brandy, 1/2 oz  Anisette, 1/2 oz  Brandy"
Bull's Eye,Cocktail Classics,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces," Brandy,  Hard cider","1 oz  Brandy, 2 oz  Hard cider,  Ginger ale "
Brantini,Cocktail Classics,Stir with cracked ice and strain into old-fashioned glass with cubed ice. Add a twist of lemon peel.,Old-Fashioned Glass,6 to 8 ounces," Brandy,  Gin,  Dry Vermouth","1 1/2 oz  Brandy, 1 oz  Gin, 1 oz  Dry Vermouth"
Heather's Kiss,Whiskies,Shake with ice strain into chilled cocktail glass. Garnish with apple slice.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Lemon juice,  Agave nectar,  Absinthe","2 1/4 oz  Blended Scotch Whiskey, 1/2 oz  Lemon juice, 1/4 oz  Agave nectar, 1 oz  Absinthe,  Apple slice "
Brandy Squirt,Cocktail Classics,Shake with ice and strain into highball glass and fill with club soda. Decorate with stick of pineapple and strawberries.,Highball Glass,7 to 10 ounces," Brandy,  Powdered Sugar,  Grenadine,  Club Soda","1 1/2 oz  Brandy, 1 oz  Powdered Sugar, 1 oz  Grenadine,   Club Soda"
Brandy and Soda,Cocktail Classics,Pour brandy into collins glass with ice cubes. Fill with club soda.,Collins Glass,14 to 16 ounces," Brandy,  Club Soda","2 oz  Brandy,   Club Soda"
Brandy Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces," Powdered Sugar,  Brandy,  Milk","1 oz  Powdered Sugar, 2 oz  Brandy, 1 oz  Milk"
Vodka Collins,Vodka,"Shake vodka, lemon juice, and syrup and strain into ice-filled Collins glass. Fill with soda water and stir. Garnish with citrus and cherry. Serve with a straw.",Collins Glass,14 to 16 ounces," Vodka,  Lemon juice,  Simple Syrup,  Soda water","2 oz  Vodka, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup,   Soda water,  Lemon and orange wheels, maraschino cherry "
Brandy Crusta Cocktail,Cocktail Classics,Moisten the edge of a cocktail glass with lemon and dip into sugar. Cut the rind of half a lemon into a spiral and place in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Add a slice of orange.,Cocktail Glass,6 or more ounces," Maraschino,  Bitters,  Lemon Juice,  Triple Sec,  Brandy","1 oz  Maraschino, 1 oz  Bitters, 1 oz  Lemon Juice, 1/2 oz  Triple Sec, 2 oz  Brandy"
Heather Blush,Whiskies,Pour Scotch and liqueur into chilled champagne flute. Top with sparkling wine. Garnish with strawberry.,Champagne Flute,6 to 8 ounces," Blended Scotch Whiskey,  Strawberry liqueur,  Chilled sparkling wine,  Whole strawberry","1 oz  Blended Scotch Whiskey, 1 oz  Strawberry liqueur, 3 oz  Chilled sparkling wine,   Whole strawberry"
Jack Maples,Brandy,Stir with ice and strain into cocktail glass. Garnish with cinnamon stick.,Cocktail Glass,6 or more ounces," Applejack,  maple syrup,  Aromatic bitters,  Cinnamon stick","2 oz  Applejack, 1 oz  maple syrup (grade B or medium-amber), 1 oz  Aromatic bitters,   Cinnamon stick"
Brandy Alexander,Cocktail Classics,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Creme de Cacao (Brown),  Brandy,  Heavy cream","1/2 oz  Creme de Cacao (Brown), 1/2 oz  Brandy, 1/2 oz  Heavy cream"
Vodka and Tonic,Vodka,Pour vodka into highball glass over ice. Add tonic and stir. Garnish with lemon or lime wedge. VODKA COLLINS,Highball Glass,7 to 10 ounces," Vodka,  Tonic water, lemon wedge","2 oz  Vodka,   Tonic water,   Lemon or lime wedge"
Apricot Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Orange Juice,  Apricot Flavored Brandy,  Gin","1/4 oz  Lemon Juice, 1/4 oz  Orange Juice, 1 1/2 oz  Apricot Flavored Brandy, 1 oz  Gin"
Alexander Cocktail No. 2,Cocktail Classics,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces," Creme de Cacao (White),  Brandy,  Light cream","1 oz  Creme de Cacao (White), 1 oz  Brandy, 1 oz  Light cream"
After Dinner Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Leave lime in glass.,Cocktail Glass,6 or more ounces," Apricot Flavored Brandy,  Triple Sec,  Lime Juice","1 oz  Apricot Flavored Brandy, 1 oz  Triple Sec, 1 oz  Lime Juice"
Harvest Moon,Whiskies,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Lillet Blanc,  Apple Brandy,  Green Chartreuse,  Angostura Bitters,  Orange twist","1 1/2 oz  Straight rye whiskey, 1 oz  Lillet Blanc, 1/2 oz  Apple Brandy, 1/4 oz  Green Chartreuse, 2 oz  Angostura Bitters,   Orange twist"
Red Raider,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Bourbon,  Triple Sec,  Lemon Juice,  Grenadine","1 oz  Bourbon, 1/2 oz  Triple Sec, 1 oz  Lemon Juice, 1 oz  Grenadine"
Vodka and Apple Juice,Vodka,Pour vodka into ice-filled highball glass. Fill with apple juice and stir.,Highball Glass,7 to 10 ounces," Vodka,  Apple juice","2 oz  Vodka,   Apple juice"
Mint Julep (Southern Style),Cocktail Classics,"In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Decorate with sprigs of  mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste.",Collins Glass,14 to 16 ounces,"springs mint,  Powdered Sugar,  Water,  Bourbon","5 or 6 springs mint, 1 oz  Powdered Sugar, 2 oz  Water, 2 1/2 oz  Bourbon"
Limestone,Cocktail Classics,"Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste.",Highball Glass,7 to 10 ounces," Bourbon,  Collins Mix,  Lime Juice","1 1/2 oz  Bourbon,   Collins Mix,   Lime Juice"
Grounds For Divorce,Whiskies,Stir and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Kirschwasser,  Cynar,  Amaro","1 1/2 oz  Straight rye whiskey, 3/4 oz  Kirschwasser, 1/4 oz  Cynar, 1/2 oz  Amaro,  Orange twist "
Gentleman's Cocktail,Cocktail Classics,"Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist.",Highball Glass,7 to 10 ounces," Bourbon,  Brandy,  Creme de Menthe,  Club Soda","1 1/2 oz  Bourbon, 1/2 oz  Brandy, 1/2 oz  Creme de Menthe,   Club Soda"
Dixie Julep,Cocktail Classics,Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Decorate with sprigs of mint. Serve with straws.,Collins Glass,14 to 16 ounces," Powdered Sugar,  Bourbon","1 oz  Powdered Sugar, 2 1/2 oz  Bourbon"
Victory Collins,Vodka,Shake with ice and strain into ice-filled Collins glass. Garnish with orange.,Collins Glass,14 to 16 ounces," Vodka,  Unsweetened Grape Juice,  Lemon juice,  Simple Syrup","1 1/2 oz  Vodka, 2 oz  Unsweetened Grape Juice, 1 oz  Lemon juice, 1/2 oz  Simple Syrup,  Orange half-wheel "
Buddy's Favorite,Cocktail Classics,Pour ingredients into highball glass. Stir and serve without ice.,Highball Glass,7 to 10 ounces," Bourbon,  Cold Water","1 1/2 oz  Bourbon, 6 oz  Cold Water"
Bourbon On The Rocks,Cocktail Classics,Pour bourbon into old-fashioned glass half-filled with ice.,Old-Fashioned Glass,6 to 8 ounces, Bourbon,2 oz  Bourbon
Bourbon Cobbler,Cocktail Classics,"Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Decorate with peach slice.",Old-Fashioned Glass,6 to 8 ounces,"Bourbon,  Lemon Juice,  Grapefruit Juice,  Almond extract","2 1/2 oz   Bourbon, 1 oz  Lemon Juice, 2 oz  Grapefruit Juice, 1 1/2 oz  Almond extract"
